	88767_20FN002SUS_8GBupgraded	Lenovo ThinkPad T460 Business Ultrabook (14" HD Display, i5-6200U 2.3GHz, 8GB RAM, 500GB HDD, FingerPrint Reader, Backlit Keyboard, Window 7 Pro 64 Upgradeable to Win 10 Pro)		B073GDJKTB	X001GNIFFX	1
	dp_N1R87UA#TBA	HP Spectre 13 x360 2-IN-1 Convertible Laptop: 13.3" Touchscreen FHD (1920x1080), Intel Core i7-6500U, 256GB SSD, 8GB RAM, Backlit Keyboard, Windows 10 - Ash Silver (Certified Refurbished)		B0736G496Y	X001GGYUTP	1
	86262_801115R-999-F692	HP EliteDesk 705 G2 SFF Desktop PC - AMD Pro A10-8750B | 1TB HDD | 8GB DDR3 | Integrated AMD Radeon R7 Graphics | DVDRW | NIC | Windows 10 Professional (Certified Refurbished)		B06XTCMPTC	X001D3JBFJ	1
	88770_ZA0V0224US_yogabook_Black	Lenovo Yoga Book- FHD 10.1" Android Tablet - 2 in 1 Tablet (Intel Atom x5-Z8550 Processor, 4GB RAM, 64GB SSD), Black, ZA0V0224US		B01N1OUWBX	X001GN55TH	1
	88419_LC5-00015	Microsoft Surface 3 Tablet (10.8-inch FHD (1920x1280), 4GB RAM, 64GB SSD, Intel Atom 1.6Ghz, Windows 10 Professional 64 Bit)		B072QRCFCG	X001GHXBSF	4
	ex_LE3440-504-REF	Dell Latitude 3340 Business Laptop: 13.3" (1366x768) | Intel Core i5 4200U | 500GB SSHD | 4GB RAM | Intel Dual Band WiFi | Bluetooth | Webcam | Windows 7 Professional 64bit (Certified Refurbished)		B01LALCLP4	X00176U0GV	1
	86581_W2K88UAR#ABA	HP Envy 17 M7 17.3" Laptop: Intel i7-7500U | 16GB DDR4 | 1TB HDD | FHD (1920x1080) | EDGE-TO-EDGE GLASS TouchScreen | NVIDIA 940MX | Windows 10 (Certified Refurbished)		B06Y2B6LQJ	X001DNYL1N	1
	dp_E2500-BLK	Linksys E2500 (N600) Advanced Simultaneous Dual-Band Wireless-N Router		B004T9RR4A	X001G3N67Z	6
	85694_LX-WX50	JVC Professional Series DLP Projector 3D Ready 5000 lumens (LX-WX50)		B01HJ2LF28	X001CNAEYH	3
	87146-80KE004YUS	Lenovo Yoga 700-11ISK 11.6" TouchScreen 2-in-1 Laptop: Intel Core M5-6Y54 | 256GB SSD | 8GB RAM | FHD (1920x1080) | Windows 10 | 2.4lbs (Certified Refurbished)		B0722HCFRG	X001EDLA07	5
	20FL000KUS-New	Lenovo ThinkPad P50s 15.6" Mobile Workstation 20FL: Intel Core i7-6500U | NVIDIA Quadro M500M | 8GB RAM | 500GB HDD | IPS FHD (1920x1080) | Backlit Keys | WRT to 2020 | Windows 7/10 Pro		B071L7FHG8	X001EU0NBR	1
	88291_LC5-00015	Microsoft Surface 3 Tablet (10.8-inch FHD (1920x1280), 4GB RAM, 64GB SSD, Intel Atom 1.6Ghz, Windows 10 Professional 64 Bit)		B072QRCFCG	X001G6M3MB	3
	dp-LE7450-I5258T-PON	Dell Latitude 7000 E7450 Ultrabook Laptop: 14" Fhd (1920X1080) Touchscreen (Corning Gorilla Glass) , Intel I5-5300U , 256Gb Ssd , 8Gb Ram , Back-Lit , Bluetooth , Windows 10 Pro		B01N79L60C	X0019X2P6F	1
	88153_I15-755971T16TUV-PON	Dell Inspiron 7000 i7559 15.6" UHD (3840x2160) 4K TouchScreen Gaming Laptop: Intel Quad-Core i7-6700HQ | 16GB RAM | NVIDIA GTX 960M 4GB | 1TB + 128GB SSD | Backlit Keyboard | Windows 10 - Grey		B071G1LQ7G	X001FUUDPR	1
	V8U02UAR#ABA	HP Spectre 13 x360 2-IN-1 Convertible Laptop: 13.3" QHD (2560x1440) Touchscreen, Intel Core i7-6500U, 256GB SSD, 8GB RAM, Backlit Keyboard, Windows 10 - Ash Silver (Certified Refurbished)		B072R4PCXM	X001G6TRMZ	2
	88321_7GM-00015_128	Microsoft Surface 3 Tablet (10.8-inch FHD (1920x1280), 4GB RAM, 128GB SSD, Intel Atom 1.6Ghz, Windows 10 Professional 64 Bit)		B071WV2L4Q	X001G3O147	1
	87296_X9U59UT#ABA-New	HP ProBook 430 G3 13.3" (1366x768) Business Laptop: Intel Core i3-6100U | 500GB HDD | 4GB DDR3 | Webcam | Windows 7/10 Professional 64-bit		B0719C3B9B	X001EVBCHF	1
	85076-V2W65UT#ABA	HP MT42 Mobile Thin Client Laptop - AMD Quad Core Pro A8-8600B 1.66GHz | 32GB SSD | 8GB | 14" FHD (1920x1080) | AMD Radeon R6 | WiFi + BlueTooth | Windows 10 IoT Enterprise (ENERGY STAR)		B06WGR3HGF	X001C3EQAZ	1
	86627_20EN001SUS	Lenovo Thinkpad P50 15.6-Inch 20EN Mobile Workstation (2.8 GHz Intel Xeon E3-1505M v5 Quad-Core Processor, 16GB DDR4 RAM, 256GB M.2 SSD Opal2, NVIDIA Quadro M2000M (4GB), Windows 7/10 Pro)		B0186JDMOW	X001E9C0R3	2
	88420_7GM-00015	Microsoft Surface 3 Tablet (10.8-Inch, 128 GB, Intel Atom, Windows 10)		B012DTDI2C	X001GI8PS5	1
	20EV002FUS_8GBupgraded	Lenovo ThinkPad Edge E560 15.6-Inch Business Laptop: Intel Core i5-6200U, 8GB RAM, 500GB HDD, FingerPrint Reader, DVD+RW, 802.11AC, Windows 7 Professional 64-bit		B01G9JCLW0	X0014EBB9L	2
	87986_80MK00H9US	Lenovo Yoga 900 13 13.3-Inch MultiTouch Convertible Laptop (Core i7-6500U, 256GB SSD, 8GB RAM) - Silver		B016WM8R9A	X001FJRGMV	1
	87334_W0U97AAR#ABA-WNQN	2017 HP Envy 17 17T 17.3" Laptop: Intel i7-7500U | 16GB DDR3 | 1TB HDD | Full HD IPS (1920x1080)| NVIDIA 940MX 4GB GPU | Windows 10 (Certified Refurbished)		B0713Y4BKC	X001EPWPJZ	2
	83086-80S60005US	Lenovo N22 11.6-inch High Performance Laptop Notebook (2016 New Premium Edition) ( Intel Dual-Core Processor 1.60GHz, 4GB RAM, 64GB eMMC SSD,Windows 10 Pro)		B01K9HS4Q0	X001A35TZ3	1
	JVPPKL3715.PK-L3715UW-New	JVC Original Replacement Projector Lamp Bulb for LX-WX50 (JVPPKL3715 PK-L3715UW)		B072JHXKD6	X001FK8ROL	1
	1KD18UT#ABA-FBA	2017 HP ProBook 450 G4 15.6" Business Ultrabook: Intel 7th Core i7-7500U | 1TB HDD | 8GB DDR4 | (1920x1080) FHD | DVD | Back-lit | Windows 10 Pro		B06XY3PTX4	X001DLBGJ5	1
